#Name=my_network
Type,Region,Name,Longitude,Latitude,Connections,MAC
PMU,CAIS,BIGEDDY3,45.606833,-121.114785,EMPTY,EMPTY
PMU,BPA,BIGEDDY4,45.806833,-122.113785,EMPTY,EMPTY
PMU,VRCC,DALLES21,44.89,-123.29,EMPTY,EMPTY
PMU,CAIS,CELILO,45.596416,-121.312202,EMPTY,EMPTY
PMU,CAIS,CELILOCA,45.295416,-121.114202,EMPTY,EMPTY
PMU,PNM,COLSTRP,45.891161,-106.612578,EMPTY,EMPTY
PMU,LADW,COULEE,47.954899,-118.997945,EMPTY,EMPTY
PMU,APS,GARRISON,46.51144,-112.88531,EMPTY,EMPTY
PMU,CAIS,JOHNDAY,45.913936,-120.692286,EMPTY,EMPTY
PMU,CAIS,JOHNDAY3,45.713936,-120.693974,EMPTY,EMPTY
PMU,LADW,HANFORD,46.669335,-119.571501,EMPTY,EMPTY
PMU,CAIS,NORTHG3,47.954899,-120.997945,EMPTY,EMPTY
PMU,BPA,NORTH,47.624154,-122.219492,EMPTY,EMPTY
PMU,LADW,BURNS,43.78473,-118.77463,EMPTY,EMPTY
PMU,CAIS,GRIZZLY,44.48235,-121.019484,EMPTY,EMPTY
PMU,CAIS,MALIN,42.00686,-121.316546,EMPTY,EMPTY
PMU,IPCO,MIDPOINT,42.934919,-114.419206,EMPTY,EMPTY
PMU,IPCO,MIDPOINT3,42.731919,-114.419206,EMPTY,EMPTY
PMU,CAIS,SUMMERL,43.013135,-120.956476,EMPTY,EMPTY
PMU,CAIS,GRIZZLY1,44.06835,-120.79484,EMPTY,EMPTY
PMU,CAIS,GRIZZLY2,43.55835,-120.93484,EMPTY,EMPTY
PMU,CAIS,MALIN1,42.43835,-121.216546,EMPTY,EMPTY
PMU,CAIS,MALIN2,42.93835,-121.156546,EMPTY,EMPTY
PMU,CAIS,GRIZZLY3,44.06835,-121.215484,EMPTY,EMPTY
PMU,CAIS,GRIZZLY4,43.55835,-121.135484,EMPTY,EMPTY
PMU,CAIS,GRIZZLY5,43.04835,-121.255484,EMPTY,EMPTY
PMU,CAIS,GRIZZLY6,42.63835,-121.175484,EMPTY,EMPTY
PMU,CAIS,GRIZZLY7,44.06835,-121.013484,EMPTY,EMPTY
PMU,CAIS,GRIZZLY8,43.55835,-120.733484,EMPTY,EMPTY
PMU,CAIS,GRIZZLY9,43.04835,-121.053484,EMPTY,EMPTY
PMU,CAIS,GRIZZLYA,42.63835,-120.973484,EMPTY,EMPTY
PMU,LADW,BURNS1,43.620189,-118.865882,EMPTY,EMPTY
PMU,BPA,CORTINA,39.120428,-122.073631,EMPTY,EMPTY
PMU,BPA,COTWDPGE,40.398031,-122.263453,EMPTY,EMPTY
PMU,CAIS,DIABLO,35.2162,-120.847567,EMPTY,EMPTY
PMU,CAIS,DIABLO1,35.2152,-120.900567,EMPTY,EMPTY
PMU,CAIS,GATES,36.202099,-120.129849,EMPTY,EMPTY
PMU,BPA,GLENN,39.777745,-122.142965,EMPTY,EMPTY
PMU,BPA,LOGANCR,39.539598,-122.262993,EMPTY,EMPTY
PMU,CAIS,LOSBANOS,37.052929,-121.021929,EMPTY,EMPTY
PMU,LADW,MIDWAY,35.403217,-119.450452,EMPTY,EMPTY
PMU,LADW,MIDWAY3,35.352217,-119.450452,EMPTY,EMPTY
PMU,BPA,MOSSLAND,36.807243,-121.779037,EMPTY,EMPTY
PMU,BPA,OLINDA,39.56745,-122.276225,EMPTY,EMPTY
PMU,BPA,ROUNDMT,40.807689,-122.135718,EMPTY,EMPTY
PMU,BPA,ROUNDMT3,40.806689,-121.935718,EMPTY,EMPTY
PMU,BPA,ROUNDMT4,41.008689,-121.935718,EMPTY,EMPTY
PMU,CAIS,TABLEMT,39.555494,-121.24,EMPTY,EMPTY
PMU,CAIS,TEVATR,37.954721,-121.18379,EMPTY,EMPTY
PMU,CAIS,TEVATR3,38.406721,-121.10879,EMPTY,EMPTY
PMU,CAIS,TEVATR2,38.906721,-121.27379,EMPTY,EMPTY
PMU,CAIS,TEVATR4,38.656721,-121.23979,EMPTY,EMPTY
PMU,BPA,OLINDA1,39.36745,-122.276225,EMPTY,EMPTY
PMU,BPA,OLINDA2,39.16745,-122.276225,EMPTY,EMPTY
PMU,BPA,OLINDA3,38.96745,-122.276225,EMPTY,EMPTY
PMU,BPA,OLINDA4,38.76745,-122.276225,EMPTY,EMPTY
PMU,PGE,ROUND1,40.857689,-121.655718,EMPTY,EMPTY
PMU,PGE,ROUND2,40.654689,-121.655718,EMPTY,EMPTY
PMU,BPA,ROUND3,40.657689,-121.850718,EMPTY,EMPTY
PMU,BPA,ROUND4,40.454689,-121.850718,EMPTY,EMPTY
PMU,PGE,TABLE1,39.555494,-121.640407,EMPTY,EMPTY
PMU,PGE,TABLE2,39.501494,-121.440407,EMPTY,EMPTY
PMU,BPA,TABLE3,39.655494,-121.744407,EMPTY,EMPTY
PMU,BPA,TABLE4,39.351494,-121.744407,EMPTY,EMPTY
PMU,CAIS,TEVATR1,38.154721,-121.18379,EMPTY,EMPTY
PMU,CAIS,TEVATR23,37.954721,-121.13079,EMPTY,EMPTY
PMU,CAIS,TEVATR3,37.754721,-121.23779,EMPTY,EMPTY
PMU,CAIS,GATES1,36.001099,-120.129849,EMPTY,EMPTY
PMU,AESO,DEVERS,33.937268,-116.577985,EMPTY,EMPTY
PMU,LADW,EAGLROCK,34.150835,-118.184318,EMPTY,EMPTY
PMU,LADW,ELDORADO,34.20835,-118.184318,EMPTY,EMPTY
PMU,LADW,ELDORADO3,34.101835,-118.184318,EMPTY,EMPTY
PMU,LADW,LITEHIPE,33.880491,-118.175177,EMPTY,EMPTY
PMU,LADW,LITEHIPE3,33.829491,-118.175177,EMPTY,EMPTY
PMU,SDGE,LUGO,34.366727,-117.369299,EMPTY,EMPTY
PMU,SCE,MESACAL,34.037454,-118.109265,EMPTY,EMPTY
PMU,SDGE,MIRALOMA,34.007821,-117.5645,EMPTY,EMPTY
PMU,SDGE,MIRALOMA3,34.007821,-117.5125,EMPTY,EMPTY
PMU,SCE,MIRALOMA4,34.007821,-117.7105,EMPTY,EMPTY
PMU,IPCO,MOHAVE,34.947654,-114.595307,EMPTY,EMPTY
PMU,IPCO,MOHAV1CC,35.148654,-114.595307,EMPTY,EMPTY
PMU,LADW,PARDEE,34.439084,-118.582763,EMPTY,EMPTY
PMU,LADW,PARDEE3,34.388084,-118.582763,EMPTY,EMPTY
PMU,SCE,SERRANO,33.82931,-117.78936,EMPTY,EMPTY
PMU,LADW,VALLEY3,34.2436,-118.391667,EMPTY,EMPTY
PMU,SCE,VINCENT,34.636247,-118.118227,EMPTY,EMPTY
PMU,SCE,VINCENT3,34.434247,-118.118227,EMPTY,EMPTY
PMU,SRP,CAMPWIL,40.469158,-111.947715,EMPTY,EMPTY
PMU,SRP,BENLOMND,41.438578,-112.048172,EMPTY,EMPTY
PMU,SRP,BENLOMND3,41.239578,-112.048172,EMPTY,EMPTY
PMU,SRP,EMERY,39.177375,-110.778737,EMPTY,EMPTY
PMU,SRP,EMERY3,39.177375,-111.079737,EMPTY,EMPTY
PMU,SRP,MONA,39.809556,-111.908691,EMPTY,EMPTY
PMU,SRP,NAUGHTON,41.7585,-110.6005,EMPTY,EMPTY
PMU,SRP,NAUGHT,41.5555,-110.4005,EMPTY,EMPTY
PMU,PNM,PINTOPS,38.020747,-109.314458,EMPTY,EMPTY
PMU,PNM,PINTO,37.829747,-109.314458,EMPTY,EMPTY
PMU,SRP,SPANFRK,40.080517,-111.506269,EMPTY,EMPTY
PMU,SRP,SIGURD,38.843763,-111.994022,EMPTY,EMPTY
PMU,SRP,TERMINAL,40.757317,-112.007263,EMPTY,EMPTY
PMU,CAIS,MALIN3,41.80686,-121.316546,EMPTY,EMPTY
PMU,CAIS,MALIN4,41.60186,-121.316546,EMPTY,EMPTY
PMU,CAIS,MALIN5,41.80686,-121.116546,EMPTY,EMPTY
PMU,CAIS,MALIN6,41.60186,-121.116546,EMPTY,EMPTY
PMU,PGE,MALIN7,41.80686,-121.511546,EMPTY,EMPTY
PMU,PGE,MALIN8,41.60686,-121.511546,EMPTY,EMPTY
PMU,LADW,MIDWAY1,35.453217,-119.600452,EMPTY,EMPTY
PMU,LADW,MIDWAY2,35.258217,-119.600452,EMPTY,EMPTY
PMU,LADW,MIDWAY3,35.453217,-119.405452,EMPTY,EMPTY
PMU,LADW,MIDWAY4,35.258217,-119.405452,EMPTY,EMPTY
PMU,LADW,MIDWAY5,35.453217,-119.300452,EMPTY,EMPTY
PMU,LADW,MIDWAY6,35.258217,-119.300452,EMPTY,EMPTY
PMU,LADW,BURNS2,43.78573,-118.97463,EMPTY,EMPTY
PMU,APS,ADDBUS1,46.31144,-112.88531,EMPTY,EMPTY
PMU,CAIS,ADDBUS2,39.056721,-121.23979,EMPTY,EMPTY
